mysql> SELECT * FROM nytaxistaus201301 WHERE status ='严重超负荷';
+----------------------------------+---------------------+-----------+-----------------+
| hack_license                     | day                 | totaltime | status          |
+----------------------------------+---------------------+-----------+-----------------+
| F153D0336BF48F93EC3913548164DDBD | 2013-01-17 00:00:00 |     45180 | 严重超负荷      |
| 5649057646D8A96D95C2CD5C846D22D4 | 2013-01-25 00:00:00 |     43380 | 严重超负荷      |
| 6D8C1272CD07ABD4138069DEAB678C96 | 2013-01-25 00:00:00 |     44580 | 严重超负荷      |
| 39CDF878C79B82C48DF7E3F2FA8431A2 | 2013-01-23 00:00:00 |     43980 | 严重超负荷      |
| CFCD208495D565EF66E7DFF9F98764DA | 2013-01-03 00:00:00 |     44280 | 严重超负荷      |
| 3AAB94CA53FE93A64811F65690654649 | 2013-01-09 00:00:00 |     44587 | 严重超负荷      |
| 6ACA96741757AD0B9E599610ED1FB4B5 | 2013-01-10 00:00:00 |     44787 | 严重超负荷      |
| 7B3DAEAD0556C7DC4BB925B0A8BED5D7 | 2013-01-25 00:00:00 |     54180 | 严重超负荷      |
| 8D57434CE4AEDA42C075574C157707DF | 2013-01-24 00:00:00 |     44024 | 严重超负荷      |
| DB1B4490DA4A46A7A9A009DF6A503675 | 2012-12-31 00:00:00 |     49260 | 严重超负荷      |
| 00B7691D86D96AEBD21DD9E138F90840 | 2013-01-08 00:00:00 |     43620 | 严重超负荷      |
| 66AC66EC81245F6D4AE9D2820D49212D | 2013-01-26 00:00:00 |     54941 | 严重超负荷      |
| 5DD6D7AE462C1AEC0B364990D3EC72E0 | 2013-01-22 00:00:00 |     43620 | 严重超负荷      |
| 0E5CF2AF1CB8766E5728B7A6F95FD4DE | 2013-01-24 00:00:00 |     45300 | 严重超负荷      |
| 327401DD2B20785110594AC85E3DAE1E | 2013-01-10 00:00:00 |     47100 | 严重超负荷      |
| 0E5CF2AF1CB8766E5728B7A6F95FD4DE | 2013-01-10 00:00:00 |     45540 | 严重超负荷      |
| 3AAB94CA53FE93A64811F65690654649 | 2013-01-10 00:00:00 |     44563 | 严重超负荷      |
| 327401DD2B20785110594AC85E3DAE1E | 2013-01-17 00:00:00 |     45840 | 严重超负荷      |
| 990D4B64C827AF717366B6C677C8EFFB | 2013-01-24 00:00:00 |     43880 | 严重超负荷      |
| F788E5B97DBC4DDAD7200A078C2B7FD2 | 2013-01-17 00:00:00 |     47520 | 严重超负荷      |
| 847349F8845A667D9AC7CDEDD1C873CB | 2013-01-15 00:00:00 |     49126 | 严重超负荷      |
| E2689E87C408630B8BF4D313E2CFD13D | 2013-01-10 00:00:00 |     47948 | 严重超负荷      |
| 327401DD2B20785110594AC85E3DAE1E | 2013-01-22 00:00:00 |     43740 | 严重超负荷      |
| 92577F98149CAE5387B4E3BDFE76C98C | 2013-01-24 00:00:00 |     45120 | 严重超负荷      |
| 7B3DAEAD0556C7DC4BB925B0A8BED5D7 | 2013-01-18 00:00:00 |     47280 | 严重超负荷      |
| 847349F8845A667D9AC7CDEDD1C873CB | 2013-01-07 00:00:00 |     43654 | 严重超负荷      |
| FE23B48418C3CE8B22A0D821C85D6A31 | 2013-01-10 00:00:00 |     46980 | 严重超负荷      |
| B54855B13CA5B6B8DD264BE86A1430ED | 2013-01-24 00:00:00 |     43320 | 严重超负荷      |
| 53CC5576B124EACDDE0A01E7C3F94076 | 2013-01-17 00:00:00 |     45120 | 严重超负荷      |
| 66AC66EC81245F6D4AE9D2820D49212D | 2013-01-22 00:00:00 |     43872 | 严重超负荷      |
| E8E35AC6FB9CEBB4CD5E6DF93F35393D | 2013-01-16 00:00:00 |     44028 | 严重超负荷      |
| 54DE5C3F1D85976FCF9D4117C16C8652 | 2013-01-25 00:00:00 |     45877 | 严重超负荷      |
| A95E1F1E4B15BBCD0B8B80227641C862 | 2013-01-25 00:00:00 |     45577 | 严重超负荷      |
| FEAF9F0D8BD84ED9495D8C6F4E566756 | 2013-01-26 00:00:00 |     43283 | 严重超负荷      |
| 2BF7915E6DC6252344DA12975B2B3E06 | 2013-01-23 00:00:00 |     43733 | 严重超负荷      |
| 612CD0203D4B3D208EE7CA70448D458B | 2013-01-30 00:00:00 |     47100 | 严重超负荷      |
| 12DF08C467CE0D44897DFB82171CBC63 | 2013-01-08 00:00:00 |     44220 | 严重超负荷      |
| D46A39825A86DE1506B540F901BEBAD9 | 2013-01-30 00:00:00 |     45720 | 严重超负荷      |
| CE625FD96D0FAFC812A6957139B354A1 | 2013-01-24 00:00:00 |     43798 | 严重超负荷      |
| 847349F8845A667D9AC7CDEDD1C873CB | 2013-01-10 00:00:00 |     56831 | 严重超负荷      |
| 09440C37A4F051FC62F7ACB7F5365DE2 | 2013-01-30 00:00:00 |     44520 | 严重超负荷      |
| 126A7F3DDF360679CD31B1A7D1862681 | 2013-01-25 00:00:00 |     44435 | 严重超负荷      |
| 5DD6D7AE462C1AEC0B364990D3EC72E0 | 2013-01-24 00:00:00 |     45480 | 严重超负荷      |
| 847349F8845A667D9AC7CDEDD1C873CB | 2013-01-17 00:00:00 |     47538 | 严重超负荷      |
| CDE0E71B18BC61B71E8AAC1D04D0E142 | 2013-01-10 00:00:00 |     43422 | 严重超负荷      |
| 3913B0552F66917A59F90F9E1E93FB6D | 2013-01-10 00:00:00 |     44519 | 严重超负荷      |
| E4A93035B03BA9FF8553FF6B6F2C54AF | 2013-01-24 00:00:00 |     44889 | 严重超负荷      |
| 018ACEDAC372E95A9F5F356E919D26A3 | 2013-01-26 00:00:00 |     44700 | 严重超负荷      |
| 7FFCAAF92C0038D7187749F0362AA758 | 2013-01-30 00:00:00 |     46380 | 严重超负荷      |
| B28550A1D50390F6646313B494AE4644 | 2013-01-26 00:00:00 |     43800 | 严重超负荷      |
| 23B8A57B2BA4AABE14D4E418BCC03B1E | 2013-01-25 00:00:00 |     44580 | 严重超负荷      |
| 7D9A98BC51CF096C45BF719D4DAF1686 | 2013-01-02 00:00:00 |     45198 | 严重超负荷      |
| A95E1F1E4B15BBCD0B8B80227641C862 | 2013-01-18 00:00:00 |     43315 | 严重超负荷      |
| 847349F8845A667D9AC7CDEDD1C873CB | 2013-01-29 00:00:00 |     49408 | 严重超负荷      |
| 9112D33A328C37CF6E8A6B364F0C6109 | 2013-01-29 00:00:00 |     43680 | 严重超负荷      |
| C5DC32CDE1B4B5A2A0F16029B62A3A10 | 2013-01-17 00:00:00 |     52170 | 严重超负荷      |
| 66AC66EC81245F6D4AE9D2820D49212D | 2013-01-25 00:00:00 |     49451 | 严重超负荷      |
| BAEF35588C435DE4E5406A35490D16F3 | 2013-01-24 00:00:00 |     44820 | 严重超负荷      |
| 990D4B64C827AF717366B6C677C8EFFB | 2013-01-17 00:00:00 |     43309 | 严重超负荷      |
| A95E1F1E4B15BBCD0B8B80227641C862 | 2013-01-17 00:00:00 |     48200 | 严重超负荷      |
| 7B3DAEAD0556C7DC4BB925B0A8BED5D7 | 2013-01-11 00:00:00 |     47220 | 严重超负荷      |
| 847349F8845A667D9AC7CDEDD1C873CB | 2013-01-21 00:00:00 |     45053 | 严重超负荷      |
| 847349F8845A667D9AC7CDEDD1C873CB | 2013-01-14 00:00:00 |     44617 | 严重超负荷      |
| A5996316D1F748CFA99CF2D11D962452 | 2013-01-24 00:00:00 |     43226 | 严重超负荷      |
| A930D2699A076C6EFAAE2F0A97C10498 | 2013-01-17 00:00:00 |     48000 | 严重超负荷      |
| 935A48297DB6149E3E83F8B279C57429 | 2013-01-10 00:00:00 |     45360 | 严重超负荷      |
| 4339B58CF42D6B3011479B8D9731CA7F | 2013-01-25 00:00:00 |     46141 | 严重超负荷      |
| 51C1BE97280A80EBFA8DAD34E1956CF6 | 2013-01-30 00:00:00 |     43440 | 严重超负荷      |
| 847349F8845A667D9AC7CDEDD1C873CB | 2013-01-25 00:00:00 |     45466 | 严重超负荷      |
| 617631D5F5F6982C600465222CF68228 | 2012-12-31 00:00:00 |     43440 | 严重超负荷      |
| 3F2FE6F5C86E933044574389BBB0C0F7 | 2013-01-23 00:00:00 |     43920 | 严重超负荷      |
| 847349F8845A667D9AC7CDEDD1C873CB | 2013-01-27 00:00:00 |     48970 | 严重超负荷      |
| DB1B4490DA4A46A7A9A009DF6A503675 | 2013-01-19 00:00:00 |     43920 | 严重超负荷      |
| 7FFCAAF92C0038D7187749F0362AA758 | 2013-01-22 00:00:00 |     44940 | 严重超负荷      |
| A95E1F1E4B15BBCD0B8B80227641C862 | 2013-01-24 00:00:00 |     46918 | 严重超负荷      |
| 12DF08C467CE0D44897DFB82171CBC63 | 2013-01-16 00:00:00 |     45000 | 严重超负荷      |
| ED6EE74B2659DE02D6B4D8417F234567 | 2013-01-15 00:00:00 |     44340 | 严重超负荷      |
| 66AC66EC81245F6D4AE9D2820D49212D | 2013-01-24 00:00:00 |     55427 | 严重超负荷      |
| 92577F98149CAE5387B4E3BDFE76C98C | 2013-01-10 00:00:00 |     46200 | 严重超负荷      |
| 214D9AC7DDC34E659C20F318857DA952 | 2013-01-10 00:00:00 |     43703 | 严重超负荷      |
| E1B595FD55E4C82C1E213EB17438107A | 2013-01-24 00:00:00 |     47651 | 严重超负荷      |
| 3913B0552F66917A59F90F9E1E93FB6D | 2013-01-24 00:00:00 |     44875 | 严重超负荷      |
